,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,0.0,0.0,0.0,2.0,1.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.2857142857142857,0.9090909090909091,20.0,50.0,22.0
category_observed_name,0.3142857142857143,1.0,22.0,48.0,22.0
ore_unit_observed_name,0.3142857142857143,1.0,22.0,48.0,22.0
ore_value,0.3142857142857143,1.0,22.0,48.0,22.0
grade_unit_observed_name,0.3142857142857143,1.0,22.0,48.0,22.0
grade_value,0.3,0.9545454545454546,21.0,49.0,22.0
cutoff_grade_unit_observed_name,0.0,0.0,0.0,70.0,22.0
cutoff_grade_value,0.0,0.0,0.0,70.0,22.0
contained_metal,0.2857142857142857,0.9090909090909091,20.0,50.0,22.0
zone,0.2857142857142857,0.9090909090909091,20.0,50.0,22.0
