,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,0.7857142857142857,0.9166666666666666,11.0,3.0,12.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.625,1.0,10.0,6.0,10.0
category_observed_name,0.625,1.0,10.0,6.0,10.0
ore_unit_observed_name,0.625,1.0,10.0,6.0,10.0
ore_value,0.625,1.0,10.0,6.0,10.0
grade_unit_observed_name,0.625,1.0,10.0,6.0,10.0
grade_value,0.625,1.0,10.0,6.0,10.0
cutoff_grade_unit_observed_name,0.4375,0.7,7.0,9.0,10.0
cutoff_grade_value,0.4375,0.7,7.0,9.0,10.0
contained_metal,0.5,0.8,8.0,8.0,10.0
zone,0.0,0.0,0.0,16.0,10.0
