,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,2.0,0.0,2.0
year,0.0,0.0,0.0,1.0,1.0
month,0.0,0.0,0.0,1.0,1.0
commodity_observed_name,0.8666666666666667,0.7647058823529411,13.0,2.0,17.0
category_observed_name,0.8666666666666667,0.7647058823529411,13.0,2.0,17.0
ore_unit_observed_name,1.0,0.8823529411764706,15.0,0.0,17.0
ore_value,0.6,0.5294117647058824,9.0,6.0,17.0
grade_unit_observed_name,1.0,0.8823529411764706,15.0,0.0,17.0
grade_value,0.6,0.5294117647058824,9.0,6.0,17.0
cutoff_grade_unit_observed_name,0.6,0.5294117647058824,9.0,6.0,17.0
cutoff_grade_value,0.6,0.5294117647058824,9.0,6.0,17.0
contained_metal,0.6,0.5294117647058824,9.0,6.0,17.0
zone,0.0,0.0,0.0,15.0,17.0
