,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,0.0,0.0,0.0,1.0,1.0
authors,1.0,1.0,6.0,0.0,6.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.7272727272727273,1.0,32.0,12.0,32.0
category_observed_name,0.36363636363636365,0.5,16.0,28.0,32.0
ore_unit_observed_name,0.7272727272727273,1.0,32.0,12.0,32.0
ore_value,0.6363636363636364,0.875,28.0,16.0,32.0
grade_unit_observed_name,0.7272727272727273,1.0,32.0,12.0,32.0
grade_value,0.6818181818181818,0.9375,30.0,14.0,32.0
cutoff_grade_unit_observed_name,0.36363636363636365,0.5,16.0,28.0,32.0
cutoff_grade_value,0.7272727272727273,1.0,32.0,12.0,32.0
contained_metal,0.6363636363636364,0.875,28.0,16.0,32.0
zone,0.7272727272727273,1.0,32.0,12.0,32.0
