,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,0.8181818181818182,1.0,9.0,2.0,9.0
year,0.0,0.0,0.0,1.0,1.0
month,0.0,0.0,0.0,1.0,1.0
commodity_observed_name,1.0,0.8571428571428571,6.0,0.0,7.0
category_observed_name,1.0,0.8571428571428571,6.0,0.0,7.0
ore_unit_observed_name,1.0,0.8571428571428571,6.0,0.0,7.0
ore_value,1.0,0.8571428571428571,6.0,0.0,7.0
grade_unit_observed_name,1.0,0.8571428571428571,6.0,0.0,7.0
grade_value,1.0,0.8571428571428571,6.0,0.0,7.0
cutoff_grade_unit_observed_name,1.0,0.8571428571428571,6.0,0.0,7.0
cutoff_grade_value,1.0,0.8571428571428571,6.0,0.0,7.0
contained_metal,1.0,0.8571428571428571,6.0,0.0,7.0
zone,0.6666666666666666,0.5714285714285714,4.0,2.0,7.0
