,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,3.0,0.0,3.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.6785714285714286,1.0,19.0,9.0,19.0
category_observed_name,0.6785714285714286,1.0,19.0,9.0,19.0
ore_unit_observed_name,0.6785714285714286,1.0,19.0,9.0,19.0
ore_value,0.5714285714285714,0.8421052631578947,16.0,12.0,19.0
grade_unit_observed_name,0.6785714285714286,1.0,19.0,9.0,19.0
grade_value,0.6785714285714286,1.0,19.0,9.0,19.0
cutoff_grade_unit_observed_name,0.6785714285714286,1.0,19.0,9.0,19.0
cutoff_grade_value,0.6785714285714286,1.0,19.0,9.0,19.0
contained_metal,0.5714285714285714,0.8421052631578947,16.0,12.0,19.0
zone,0.6071428571428571,0.8947368421052632,17.0,11.0,19.0
