,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,2.0,0.0,2.0
year,1.0,1.0,1.0,0.0,1.0
month,0.0,0.0,0.0,1.0,1.0
commodity_observed_name,0.08108108108108109,1.0,6.0,68.0,6.0
category_observed_name,0.08108108108108109,1.0,6.0,68.0,6.0
ore_unit_observed_name,0.08108108108108109,1.0,6.0,68.0,6.0
ore_value,0.04054054054054054,0.5,3.0,71.0,6.0
grade_unit_observed_name,0.06756756756756757,0.8333333333333334,5.0,69.0,6.0
grade_value,0.08108108108108109,1.0,6.0,68.0,6.0
cutoff_grade_unit_observed_name,0.08108108108108109,1.0,6.0,68.0,6.0
cutoff_grade_value,0.08108108108108109,1.0,6.0,68.0,6.0
contained_metal,0.04054054054054054,0.5,3.0,71.0,6.0
zone,0.06756756756756757,0.8333333333333334,5.0,69.0,6.0
