,Precision,Recall,TP count,FP count,GT count
mining_site_name,0.0,0.0,0.0,1.0,1.0
country_observed_name,0.0,0.0,0.0,1.0,1.0
state_or_province_observed_name,0.0,0.0,0.0,1.0,1.0
authors,0.0,0.0,0.0,2.0,5.0
year,0.0,0.0,0.0,1.0,1.0
month,0.0,0.0,0.0,1.0,1.0
commodity_observed_name,0.6,0.3333333333333333,6.0,4.0,18.0
category_observed_name,1.0,0.5555555555555556,10.0,0.0,18.0
ore_unit_observed_name,0.8,0.4444444444444444,8.0,2.0,18.0
ore_value,0.0,0.0,0.0,10.0,18.0
grade_unit_observed_name,1.0,0.5555555555555556,10.0,0.0,18.0
grade_value,0.5,0.2777777777777778,5.0,5.0,18.0
cutoff_grade_unit_observed_name,1.0,0.5555555555555556,10.0,0.0,18.0
cutoff_grade_value,0.6,0.3333333333333333,6.0,4.0,18.0
contained_metal,0.0,0.0,0.0,10.0,18.0
zone,0.3,0.16666666666666666,3.0,7.0,18.0
