,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,0.0,0.0,0.0,1.0,1.0
authors,0.75,1.0,3.0,1.0,3.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,1.0,0.08888888888888889,12.0,0.0,135.0
category_observed_name,1.0,0.08888888888888889,12.0,0.0,135.0
ore_unit_observed_name,0.75,0.06666666666666667,9.0,3.0,135.0
ore_value,0.0,0.0,0.0,12.0,135.0
grade_unit_observed_name,1.0,0.08888888888888889,12.0,0.0,135.0
grade_value,0.6666666666666666,0.05925925925925926,8.0,4.0,135.0
cutoff_grade_unit_observed_name,1.0,0.08888888888888889,12.0,0.0,135.0
cutoff_grade_value,0.5,0.044444444444444446,6.0,6.0,135.0
contained_metal,0.0,0.0,0.0,12.0,135.0
zone,0.25,0.022222222222222223,3.0,9.0,135.0
