,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,1.0,0.0,1.0
year,1.0,1.0,1.0,0.0,1.0
month,0.0,0.0,0.0,1.0,1.0
commodity_observed_name,0.12727272727272726,1.0,7.0,48.0,7.0
category_observed_name,0.12727272727272726,1.0,7.0,48.0,7.0
ore_unit_observed_name,0.10909090909090909,0.8571428571428571,6.0,49.0,7.0
ore_value,0.10909090909090909,0.8571428571428571,6.0,49.0,7.0
grade_unit_observed_name,0.10909090909090909,0.8571428571428571,6.0,49.0,7.0
grade_value,0.10909090909090909,0.8571428571428571,6.0,49.0,7.0
cutoff_grade_unit_observed_name,0.05454545454545454,0.42857142857142855,3.0,52.0,7.0
cutoff_grade_value,0.09090909090909091,0.7142857142857143,5.0,50.0,7.0
contained_metal,0.10909090909090909,0.8571428571428571,6.0,49.0,7.0
zone,0.12727272727272726,1.0,7.0,48.0,7.0
