,Precision,Recall,TP count,FP count,GT count
mining_site_name,0.0,0.0,0.0,1.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,2.0,0.0,2.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.046153846153846156,1.0,6.0,124.0,6.0
category_observed_name,0.03076923076923077,0.6666666666666666,4.0,126.0,6.0
ore_unit_observed_name,0.046153846153846156,1.0,6.0,124.0,6.0
ore_value,0.03076923076923077,0.6666666666666666,4.0,126.0,6.0
grade_unit_observed_name,0.046153846153846156,1.0,6.0,124.0,6.0
grade_value,0.046153846153846156,1.0,6.0,124.0,6.0
cutoff_grade_unit_observed_name,0.0,0.0,0.0,130.0,6.0
cutoff_grade_value,0.0,0.0,0.0,130.0,6.0
contained_metal,0.03076923076923077,0.6666666666666666,4.0,126.0,6.0
zone,0.0,0.0,0.0,130.0,6.0
