,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,0.0,0.0,0.0,1.0,1.0
authors,0.0,0.0,0.0,1.0,1.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.7777777777777778,1.0,14.0,4.0,14.0
category_observed_name,0.3333333333333333,0.42857142857142855,6.0,12.0,14.0
ore_unit_observed_name,0.7777777777777778,1.0,14.0,4.0,14.0
ore_value,0.6666666666666666,0.8571428571428571,12.0,6.0,14.0
grade_unit_observed_name,0.6666666666666666,0.8571428571428571,12.0,6.0,14.0
grade_value,0.7777777777777778,1.0,14.0,4.0,14.0
cutoff_grade_unit_observed_name,0.0,0.0,0.0,18.0,14.0
cutoff_grade_value,0.7777777777777778,1.0,14.0,4.0,14.0
contained_metal,0.6666666666666666,0.8571428571428571,12.0,6.0,14.0
zone,0.1111111111111111,0.14285714285714285,2.0,16.0,14.0
