,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,1.0,0.0,1.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.8461538461538461,0.7857142857142857,22.0,4.0,28.0
category_observed_name,0.9230769230769231,0.8571428571428571,24.0,2.0,28.0
ore_unit_observed_name,1.0,0.9285714285714286,26.0,0.0,28.0
ore_value,0.6923076923076923,0.6428571428571429,18.0,8.0,28.0
grade_unit_observed_name,1.0,0.9285714285714286,26.0,0.0,28.0
grade_value,0.8461538461538461,0.7857142857142857,22.0,4.0,28.0
cutoff_grade_unit_observed_name,1.0,0.9285714285714286,26.0,0.0,28.0
cutoff_grade_value,1.0,0.9285714285714286,26.0,0.0,28.0
contained_metal,0.15384615384615385,0.14285714285714285,4.0,22.0,28.0
zone,0.3076923076923077,0.2857142857142857,8.0,18.0,28.0
