,Precision,Recall,TP count,FP count,GT count
mining_site_name,0.0,0.0,0.0,1.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,2.0,0.0,2.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.42857142857142855,1.0,96.0,128.0,96.0
category_observed_name,0.42857142857142855,1.0,96.0,128.0,96.0
ore_unit_observed_name,0.42857142857142855,1.0,96.0,128.0,96.0
ore_value,0.39285714285714285,0.9166666666666666,88.0,136.0,96.0
grade_unit_observed_name,0.42857142857142855,1.0,96.0,128.0,96.0
grade_value,0.4107142857142857,0.9583333333333334,92.0,132.0,96.0
cutoff_grade_unit_observed_name,0.42857142857142855,1.0,96.0,128.0,96.0
cutoff_grade_value,0.39285714285714285,0.9166666666666666,88.0,136.0,96.0
contained_metal,0.39285714285714285,0.9166666666666666,88.0,136.0,96.0
zone,0.0,0.0,0.0,224.0,96.0
