,Precision,Recall,TP count,FP count,GT count
mining_site_name,1.0,1.0,1.0,0.0,1.0
country_observed_name,1.0,1.0,1.0,0.0,1.0
state_or_province_observed_name,1.0,1.0,1.0,0.0,1.0
authors,1.0,1.0,1.0,0.0,1.0
year,1.0,1.0,1.0,0.0,1.0
month,1.0,1.0,1.0,0.0,1.0
commodity_observed_name,0.6428571428571429,1.0,36.0,20.0,36.0
category_observed_name,0.4642857142857143,0.7222222222222222,26.0,30.0,36.0
ore_unit_observed_name,0.6428571428571429,1.0,36.0,20.0,36.0
ore_value,0.42857142857142855,0.6666666666666666,24.0,32.0,36.0
grade_unit_observed_name,0.6428571428571429,1.0,36.0,20.0,36.0
grade_value,0.6428571428571429,1.0,36.0,20.0,36.0
cutoff_grade_unit_observed_name,0.6428571428571429,1.0,36.0,20.0,36.0
cutoff_grade_value,0.6428571428571429,1.0,36.0,20.0,36.0
contained_metal,0.4107142857142857,0.6388888888888888,23.0,33.0,36.0
zone,0.30357142857142855,0.4722222222222222,17.0,39.0,36.0
